종목코드,종목명,시장구분,소속부,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"296520","가이아코퍼레이션","KONEX","일반기업부","1060","0","0.00","0","0","0","0","0","4947028480","4667008"
"036620","감성코퍼레이션","KOSDAQ","우량기업부","3915","70","1.82","3800","3950","3790","797209","3098186311","363729174570","92906558"
"000860","강남제비스코","KOSPI",,"23100","300","1.32","22500","23450","22500","5406","124853600","150150000000","6500000"
"198440","강동씨앤엘","KOSDAQ","중견기업부","1137","9","0.80","1125","1150","1112","23164","26163268","69279565752","60931896"
"217730","강스템바이오텍","KOSDAQ","기술성장기업부","2240","-10","-0.44","2100","2240","2015","475756","1031302055","125561293760","56054149"
"035250","강원랜드","KOSPI",,"15540","20","0.13","15390","15570","15260","434553","6699885095","3324635370000","213940500"
"114190","강원에너지","KOSDAQ","우량기업부","6620","-40","-0.60","6480","6850","6350","83626","553899070","172934511560","26123038"
"094480","갤럭시아머니트리","KOSDAQ","중견기업부","8050","420","5.50","7730","8300","7490","1470922","11705023965","315800195900","39229838"
"011420","갤럭시아에스엠","KOSPI",,"1984","58","3.01","1918","2000","1820","402513","788521687","54658493696","27549644"
"039240","경남스틸","KOSDAQ","우량기업부","6240","1440","30.00","4870","6240","4385","8470639","45736707913","168352728960","26979604"
"053950","경남제약","KOSDAQ","중견기업부","634","5","0.79","625","643","625","419091","266074963","49545424972","78147358"
"002100","경농","KOSPI",,"8760","10","0.11","8710","8840","8700","25635","224206970","171017757000","19522575"
"009450","경동나비엔","KOSPI",,"67200","-4200","-5.88","70200","70400","66400","154888","10525584750","979009382400","14568592"
"267290","경동도시가스","KOSPI",,"17400","20","0.12","17380","17430","17310","4944","85817180","102580064400","5895406"
"012320","경동인베스트","KOSPI",,"58100","1400","2.47","55600","58300","55600","11444","657991800","137407836300","2365023"
"011040","경동제약","KOSDAQ","중견기업부","5520","20","0.36","5480","5530","5400","56420","308589970","169843588320","30768766"
"000050","경방","KOSPI",,"6220","-80","-1.27","6300","6360","6120","6655","41488325","170522979400","27415270"
"214390","경보제약","KOSPI",,"5360","210","4.08","5110","5430","5110","23572","123798425","128140769600","23906860"
"012610","경인양행","KOSPI",,"2890","-15","-0.52","2900","2940","2835","58088","167480104","120271294850","41616365"
"009140","경인전자","KOSPI",,"18940","-60","-0.32","18790","19100","18730","2809","53132590","29750895180","1570797"
"024910","경창산업","KOSDAQ","우량기업부","1696","-18","-1.05","1685","1717","1665","413157","697915905","60749032480","35819005"
"013580","계룡건설","KOSPI",,"13910","710","5.38","13150","14070","13080","129360","1769370445","124228916370","8930907"
"012200","계양전기","KOSPI",,"1421","14","1.00","1400","1450","1391","30441","43130752","38683640009","27222829"
